ZipCodePrefix,City,State,Latitude,Longitude,Region,RowEffectiveDate,RowExpirationDate,CurrentFlag
2945,sao paulo,SP,-23.483695441764517,-46.72667919801563,,2025-03-21T13:50:24.495Z,,true
2950,sao paulo,SP,-23.478499570987278,-46.71913033698609,,2025-03-21T13:50:24.495Z,,true
2951,sao paulo,SP,-23.473670503359077,-46.72213753690242,,2025-03-21T13:50:24.495Z,,true
2952,sao paulo,SP,-23.4726460416158,-46.71346522327552,,2025-03-21T13:50:24.495Z,,true
2955,sao paulo,SP,-23.46817509806932,-46.72025344447433,,2025-03-21T13:50:24.495Z,,true
2956,sao paulo,SP,-23.46866001419789,-46.72254102953793,,2025-03-21T13:50:24.495Z,,true
2957,sao paulo,SP,-23.46694149172864,-46.72244408428041,,2025-03-21T13:50:24.495Z,,true
2959,sao paulo,SP,-23.49248458770034,-46.700128685433654,,2025-03-21T13:50:24.495Z,,true
2960,sao paulo,SP,-23.495214440794932,-46.70109132371757,,2025-03-21T13:50:24.495Z,,true
2961,sao paulo,SP,-23.49249121473466,-46.69963829158368,,2025-03-21T13:50:24.495Z,,true
2962,sao paulo,SP,-23.48941907621829,-46.70232169990238,,2025-03-21T13:50:24.495Z,,true
2963,sao paulo,SP,-23.504868908615254,-46.68260221605633,,2025-03-21T13:50:24.495Z,,true
2964,sao paulo,SP,-23.485526064048955,-46.70560335074764,,2025-03-21T13:50:24.495Z,,true
2965,sao paulo,SP,-23.483718476948756,-46.70470118435663,,2025-03-21T13:50:24.495Z,,true
2966,sao paulo,SP,-23.471269830291668,-46.709561365112236,,2025-03-21T13:50:24.495Z,,true
2967,sao paulo,SP,-23.480984678353327,-46.704216337116655,,2025-03-21T13:50:24.495Z,,true
2968,sao paulo,SP,-23.47932357125712,-46.70767471614631,,2025-03-21T13:50:24.495Z,,true
2969,sao paulo,SP,-23.492058779163493,-46.71062803918182,,2025-03-21T13:50:24.495Z,,true
2970,sao paulo,SP,-23.48281926340363,-46.71493169991234,,2025-03-21T13:50:24.495Z,,true
2971,são paulo,SP,-23.484882000129918,-46.70832128878281,,2025-03-21T13:50:24.495Z,,true
2972,sao paulo,SP,-23.48115800015399,-46.710536255224824,,2025-03-21T13:50:24.495Z,,true
2975,são paulo,SP,-23.478130903023057,-46.711362496104705,,2025-03-21T13:50:24.495Z,,true
2976,sao paulo,SP,-23.476142147293086,-46.71578918951932,,2025-03-21T13:50:24.495Z,,true
2977,sao paulo,SP,-23.470777121927586,-46.71443121107414,,2025-03-21T13:50:24.495Z,,true
2978,sao paulo,SP,-23.47361504186344,-46.70682318113959,,2025-03-21T13:50:24.495Z,,true
2979,sao paulo,SP,-23.476022948966875,-46.69807849803381,,2025-03-21T13:50:24.495Z,,true
2981,são paulo,SP,-23.460000237456534,-46.717247330524366,,2025-03-21T13:50:24.495Z,,true
2982,são paulo,SP,-23.454319441799218,-46.71586813820453,,2025-03-21T13:50:24.495Z,,true
2983,são paulo,SP,-23.452156090503394,-46.718805900672294,,2025-03-21T13:50:24.495Z,,true
2984,sao paulo,SP,-23.445001364392684,-46.72055319973795,,2025-03-21T13:50:24.495Z,,true
2985,sao paulo,SP,-23.442008385601493,-46.719366678474074,,2025-03-21T13:50:24.495Z,,true
2986,sao paulo,SP,-23.433995179089226,-46.71447905470959,,2025-03-21T13:50:24.495Z,,true
2987,sao paulo,SP,-23.435105075740708,-46.70534736523725,,2025-03-21T13:50:24.495Z,,true
2988,são paulo,SP,-23.608443549046555,-46.74037145657274,,2025-03-21T13:50:24.495Z,,true
2989,sao paulo,SP,-23.43376238830236,-46.720957851080165,,2025-03-21T13:50:24.495Z,,true
2990,sao paulo,SP,-23.444799847334334,-46.727582558308946,,2025-03-21T13:50:24.495Z,,true
2991,sao paulo,SP,-23.436675064466126,-46.72729636208272,,2025-03-21T13:50:24.495Z,,true
2992,sao paulo,SP,-23.448820684410215,-46.72876362629742,,2025-03-21T13:50:24.495Z,,true
2993,sao paulo,SP,-23.453961663812112,-46.73188402974432,,2025-03-21T13:50:24.495Z,,true
2994,são paulo,SP,-23.457149648638023,-46.73484355315656,,2025-03-21T13:50:24.495Z,,true
2995,sao paulo,SP,-23.4442716894422,-46.738988656979586,,2025-03-21T13:50:24.495Z,,true
2996,sao paulo,SP,-23.441768536424114,-46.73962666300662,,2025-03-21T13:50:24.495Z,,true
2997,sao paulo,SP,-23.535270721668116,-46.680651274818096,,2025-03-21T13:50:24.495Z,,true
2998,são paulo,SP,-23.44349823847406,-46.72775696940088,,2025-03-21T13:50:24.495Z,,true
3001,sao paulo,SP,-23.54173453271624,-46.614660294316906,,2025-03-21T13:50:24.495Z,,true
3002,são paulo,SP,-23.54497641135436,-46.62029384639974,,2025-03-21T13:50:24.495Z,,true
3003,sao paulo,SP,-23.545439588315283,-46.62370679799756,,2025-03-21T13:50:24.495Z,,true
3004,sao paulo,SP,-23.543958416955746,-46.62165834699212,,2025-03-21T13:50:24.495Z,,true
3005,sao paulo,SP,-23.542687069565428,-46.62477459348309,,2025-03-21T13:50:24.495Z,,true
3006,sao paulo,SP,-23.541812243632904,-46.62455025944192,,2025-03-21T13:50:24.495Z,,true
3007,sao paulo,SP,-23.541160884524324,-46.626430861439644,,2025-03-21T13:50:24.495Z,,true
3008,sao paulo,SP,-23.54258089570083,-46.6204712248413,,2025-03-21T13:50:24.495Z,,true
3009,sao paulo,SP,-23.53617487378618,-46.620555388073335,,2025-03-21T13:50:24.495Z,,true
3010,sao paulo,SP,-23.537002042973093,-46.61861214745834,,2025-03-21T13:50:24.495Z,,true
3011,sao paulo,SP,-23.538258995605783,-46.61510842070545,,2025-03-21T13:50:24.495Z,,true
3012,sao paulo,SP,-23.540809599311917,-46.61542127790721,,2025-03-21T13:50:24.495Z,,true
3013,são paulo,SP,-23.5353161892798,-46.61431293968789,,2025-03-21T13:50:24.495Z,,true
3014,sao paulo,SP,-23.538474755017653,-46.602033758703996,,2025-03-21T13:50:24.495Z,,true
3015,sao paulo,SP,-23.537434589824496,-46.59595450179987,,2025-03-21T13:50:24.495Z,,true
3016,sao paulo,SP,-23.537064916608408,-46.615082059766564,,2025-03-21T13:50:24.495Z,,true
3017,sao paulo,SP,-23.536603102561827,-46.61093956663343,,2025-03-21T13:50:24.495Z,,true
3018,sao paulo,SP,-23.532302489410057,-46.61134431577276,,2025-03-21T13:50:24.495Z,,true
3019,sao paulo,SP,-23.53342246225688,-46.60497703630567,,2025-03-21T13:50:24.495Z,,true
3020,são paulo,SP,-23.533317289148247,-46.60210353160307,,2025-03-21T13:50:24.495Z,,true
3021,sao paulo,SP,-23.53101201028967,-46.60081028219831,,2025-03-21T13:50:24.495Z,,true
3022,são paulo,SP,-23.52591169810235,-46.60487874214041,,2025-03-21T13:50:24.495Z,,true
